iter	RMSE
0	442.8337952
1	440.8040851
2	438.8533292
3	436.5659664
4	434.6453514
5	432.4015036
6	430.6290601
7	428.6551156
8	426.6587859
9	424.5431478
10	422.6170436
11	420.6388059
12	418.8071181
13	417.1117792
14	415.6398598
15	413.8209241
16	411.8433843
17	409.9231341
18	407.9543764
19	406.0408461
20	404.0548674
21	402.4455949
22	400.4763901
23	398.7124225
24	396.7991426
25	394.8840998
26	393.2245495
27	391.6279705
28	389.7501978
29	387.8537385
30	386.0034783
31	384.397735
32	382.7912059
33	381.205598
34	379.8775399
35	378.0517166
36	376.5887839
37	375.0203504
38	373.4053261
39	371.9348341
40	370.2066049
41	368.7416408
42	367.365369
43	365.7938949
44	364.3881029
45	362.8212569
46	361.4786576
47	360.2908408
48	358.7393541
49	357.1950137
50	355.8529987
51	354.2538823
52	353.0694331
53	351.6863958
54	350.2074735
55	348.8286148
56	347.5632673
57	346.4049693
58	345.0273369
59	343.6440419
60	342.2890016
61	340.9398051
62	339.6573295
63	338.0904717
64	336.7309114
65	335.3604661
66	334.2041229
67	332.9711792
68	331.6178908
69	330.4172995
70	329.001521
71	327.7154727
72	326.4885278
73	325.5233837
74	324.3381768
75	323.2128666
76	321.941386
77	320.7494179
78	319.7072747
79	318.5970564
80	317.3460139
81	316.237579
82	315.1598769
83	313.9273156
84	312.717673
85	311.7059487
86	310.5352784
87	309.383121
88	308.2131578
89	307.2285067
90	305.9664061
91	304.9494141
92	303.9210632
93	302.8264031
94	301.7887108
95	300.7484528
96	299.7670509
97	298.5886075
98	297.3592553
99	296.5055321
100	295.6775872
101	294.5370213
102	293.6161161
103	292.7748112
104	291.7675467
105	290.9602221
106	289.7565143
107	288.8400839
108	287.8422468
109	286.7004077
110	285.7075048
111	284.8271001
112	283.8163616
113	282.8819265
114	281.9294436
115	281.141727
116	280.2400763
117	279.332487
118	278.5205653
119	277.7026271
120	276.9181934
121	276.038289
122	275.2207874
123	274.3918606
124	273.468305
125	272.4739721
126	271.7252924
127	270.8425579
128	269.9103692
129	269.0508024
130	268.1979016
131	267.39872
132	266.3353154
133	265.6056992
134	264.7559623
135	263.8727665
136	263.1189646
137	262.3576018
138	261.5291174
139	260.6519245
140	259.955342
141	259.1775194
142	258.4177256
143	257.5902209
144	256.8394012
145	256.0392214
146	255.2551552
147	254.3276203
148	253.5966985
149	252.8061717
150	252.0225544
151	251.241097
152	250.5671632
153	249.7533234
154	249.0743801
155	248.3907698
156	247.6121971
157	246.9901799
158	246.296605
159	245.5458741
160	244.9471873
161	244.1430221
162	243.3200838
163	242.6108021
164	241.9202383
165	241.1904051
166	240.5114975
167	239.9353479
168	239.2531595
169	238.6678876
170	238.1037661
171	237.5026331
172	236.9452224
173	236.1759676
174	235.4873854
175	234.8598457
176	234.2962554
177	233.6491673
178	232.8588704
179	232.2903918
180	231.6603824
181	231.0819208
182	230.4571194
183	229.8725061
184	229.3032031
185	228.6478724
186	228.0850103
187	227.4812533
188	227.0154069
189	226.3648263
190	225.7481802
191	225.2030796
192	224.7002112
193	224.1500335
194	223.6212465
195	223.1173072
196	222.4796954
197	221.8824686
198	221.3604229
199	220.7962203
