iter	Passed	Remaining
0	7	1521
1	11	1177
2	15	1038
3	20	1023
4	24	967
5	28	934
6	32	905
7	37	905
8	42	910
9	46	892
10	51	878
11	55	864
12	59	852
13	63	841
14	68	843
15	72	833
16	76	826
17	80	816
18	85	811
19	89	804
20	96	822
21	102	828
22	106	819
23	110	810
24	114	804
25	118	796
26	123	788
27	127	781
28	131	775
29	135	766
30	139	759
31	143	751
32	147	745
33	151	739
34	155	732
35	159	727
36	164	723
37	168	716
38	172	710
39	176	705
40	180	699
41	184	692
42	188	686
43	192	682
44	196	678
45	205	686
46	212	690
47	217	690
48	222	684
49	227	681
50	231	675
51	235	669
52	239	664
53	243	658
54	247	653
55	251	647
56	258	649
57	263	646
58	269	644
59	275	642
60	280	640
61	286	637
62	291	633
63	295	627
64	299	622
65	303	616
66	307	609
67	311	604
68	313	595
69	317	590
70	321	584
71	325	578
72	329	573
73	333	568
74	337	563
75	341	557
76	346	553
77	350	548
78	354	543
79	358	538
80	363	533
81	367	528
82	371	523
83	375	517
84	379	513
85	383	508
86	390	506
87	398	506
88	404	504
89	410	501
90	414	496
91	418	491
92	422	485
93	426	481
94	430	475
95	434	470
96	440	467
97	444	462
98	448	457
99	452	452
100	456	447
101	461	443
102	464	437
103	469	433
104	473	428
105	477	423
106	481	418
107	485	413
108	489	408
109	493	404
110	498	399
111	502	394
112	506	389
113	511	386
114	515	381
115	519	376
116	523	371
117	528	366
118	532	362
119	536	357
120	540	353
121	544	348
122	549	343
123	553	338
124	557	334
125	560	329
126	565	324
127	569	320
128	573	315
129	577	311
130	584	308
131	592	305
132	598	301
133	602	296
134	606	291
135	612	288
136	615	283
137	619	278
138	624	274
139	628	269
140	632	264
141	636	260
142	640	255
143	644	250
144	648	246
145	652	241
146	657	237
147	661	232
148	665	227
149	669	223
150	673	218
151	677	214
152	681	209
153	685	204
154	689	200
155	693	195
156	697	191
157	701	186
158	705	182
159	710	177
160	714	172
161	720	168
162	724	164
163	727	159
164	731	155
165	736	150
166	740	146
167	744	141
168	748	137
169	752	132
170	756	128
171	760	123
172	765	119
173	781	116
174	789	112
175	797	108
176	803	104
177	810	100
178	817	95
179	822	91
180	828	87
181	835	82
182	841	78
183	847	73
184	852	69
185	859	64
186	865	60
187	872	55
188	878	51
189	883	46
190	889	41
191	895	37
192	901	32
193	908	28
194	914	23
195	920	18
196	926	14
197	932	9
198	939	4
199	944	0
