iter	Passed	Remaining
0	413	412681
1	596	297719
2	798	265276
3	1016	253142
4	1316	262065
5	1516	251311
6	1722	244332
7	2027	251440
8	2423	266858
9	2671	264437
10	2992	269042
11	3157	259978
12	3447	261722
13	3838	270350
14	4173	274065
15	4445	273369
16	4723	273155
17	5071	276678
18	5430	280402
19	5753	281929
20	6050	282067
21	6480	288078
22	6944	294986
23	7408	301272
24	7872	307023
25	8343	312578
26	8737	314872
27	9191	319074
28	9629	322437
29	10103	326664
30	10576	330585
31	11049	334241
32	11512	337362
33	11977	340294
34	12446	343162
35	12902	345500
36	13366	347893
37	13824	349982
38	14146	348573
39	14367	344831
40	14612	341795
41	14956	341158
42	15290	340307
43	15553	337942
44	15809	335516
45	16244	336894
46	16615	336895
47	16982	336827
48	17270	335191
49	17604	334485
50	18007	335086
51	18332	334220
52	18591	332191
53	18988	332646
54	19143	328914
55	19274	324912
56	19439	321611
57	19592	318207
58	19743	314898
59	19877	311407
60	20026	308270
61	20166	305098
62	20354	302737
63	20528	300232
64	20738	298309
65	20981	296916
66	21280	296340
67	21635	296529
68	22112	298357
69	22534	299383
70	22948	300273
71	23349	300944
72	23814	302412
73	24297	304049
74	24763	305413
75	25034	304369
76	25334	303684
77	25629	302951
78	25897	301917
79	26136	300570
80	26386	299371
81	26598	297772
82	26839	296531
83	27194	296554
84	27501	296048
85	27862	296119
86	28320	297197
87	28666	297093
88	28918	296013
89	29163	294870
90	29442	294102
91	29682	292957
92	29911	291713
93	30341	292444
94	30619	291690
95	30855	290560
96	31112	289636
97	31419	289183
98	31641	287971
99	31973	287760
100	32344	287896
101	32664	287579
102	32891	286439
103	33081	285007
104	33323	284046
105	33549	282955
106	33785	281967
107	34114	281764
108	34441	281535
109	34736	281049
110	34954	279950
111	35260	279563
112	35488	278569
113	35696	277431
114	35899	276269
115	36162	275579
116	36454	275123
117	36682	274186
118	36898	273171
119	37153	272461
120	37350	271329
121	37546	270214
122	37744	269122
123	38023	268617
124	38239	267674
125	38505	267096
126	38848	267042
127	39275	267562
128	39543	266993
129	39771	266164
130	40057	265725
131	40312	265084
132	40611	264739
133	41072	265437
134	41535	266137
135	42009	266883
136	42482	267607
137	42906	268010
138	43363	268603
139	43648	268126
140	43835	267056
141	44014	265946
142	44236	265109
143	44452	264243
144	44632	263178
145	44820	262168
146	45033	261318
147	45213	260285
148	45422	259428
149	45658	258728
150	45882	257976
151	46149	257464
152	46488	257355
153	46735	256743
154	46977	256100
155	47155	255124
156	47350	254242
157	47529	253290
158	47873	253219
159	48057	252304
160	48348	251950
161	48736	252103
162	48965	251434
163	49172	250661
164	49385	249920
165	49621	249302
166	49786	248336
167	49986	247552
168	50169	246693
169	50617	247130
170	51070	247585
171	51398	247427
172	51853	247877
173	52287	248217
174	52487	247439
175	52780	247107
176	53126	247024
177	53372	246474
178	53647	246058
179	53933	245696
180	54136	244962
181	54451	244730
182	54688	244157
183	55039	244088
184	55329	243749
185	55608	243360
186	55946	243233
187	56162	242575
188	56519	242524
189	56992	242969
190	57398	243118
191	57614	242462
192	58006	242544
193	58232	241934
194	58572	241797
195	58829	241321
196	59101	240907
197	59542	241178
198	59793	240674
199	60235	240942
200	60591	240860
201	60835	240332
202	61057	239717
203	61454	239792
204	61933	240182
205	62383	240449
206	62847	240761
207	63307	241056
208	63676	240994
209	64129	241247
210	64492	241158
211	64834	240989
212	65094	240511
213	65438	240349
214	65702	239889
215	65931	239308
216	66193	238844
217	66435	238315
218	66680	237796
219	67111	237939
220	67351	237406
221	67491	236523
222	67643	235691
223	67800	234879
224	67949	234049
225	68108	233258
226	68256	232433
